Kategori,İlaç,Yan Etkiler,Kontrendikasyonlar,Özel Notlar,Doz
Böbrek Hastalıkları,Spironolakton,"Hiperkalemi, jinekomasti","Böbrek yetmezliği, hiperkalemi","Aldosteron antagonisti","25-100 mg/gün"
Böbrek Hastalıkları,Sevelamer,"Kabızlık, hipokalsemi","Barsak tıkanıklığı, hipofosfatemi","Fosfat bağlayıcı","800 mg 3x1"
Böbrek Hastalıkları,Epoetin alfa,"Hipertansiyon, tromboz","Aktif kanser, kontrolsüz HT","Anemi tedavisi","50 IU/kg"
Böbrek Hastalıkları,Cinakalset,"Hipokalsemi, bulantı","Hipokalsemi, gebelik","SHPT tedavisi","30-180 mg/gün"
Böbrek Hastalıkları,Allopurinol,"Rash, hepatit","Kemoterapi, asemptomatik hiperürisemi","Gut profilaksisi","100-300 mg/gün"
Dermatolojik Ajanlar,Betametazon,"Cilt atrofisi, hiperglisemi","Fungal enfeksiyon, gebelik","Topikal steroid","0.1% krem"
Dermatolojik Ajanlar,Asiklovir,"Böbrek toksisitesi, nöropati","Dehidratasyon, böbrek yetmezliği","Herpes tedavisi","200-800 mg 5x1"
Dermatolojik Ajanlar,Isotretinoin,"Teratojenite, depresyon","Gebelik, hiperlipidemi","Akne tedavisi","0.5-1 mg/kg"
Dermatolojik Ajanlar,Tacrolimus,"Yanma, nefrotoksisite","Gebelik, lenfoma","Atopik dermatit","0.03-0.1% merhem"
Dermatolojik Ajanlar,Metronidazol,"Metalik tat, nöropati","Alkol kullanımı, gebelik","Rozasea tedavisi","0.75% jel"
Dermatolojik Ajanlar,Mometazon,"Cilt incelmesi, striae","Fungal enfeksiyon, gebelik","Topikal steroid","0.1% krem"
Oftalmolojik İlaçlar,Timolol,"Bradikardi, bronkospazm","Astım, kalp yetmezliği","Glokom tedavisi","0.5% damla"
Oftalmolojik İlaçlar,Latanoprost,"Hiperpigmentasyon, üveit","Gebelik, kontakt lens","Glokom tedavisi","0.005% damla"
Oftalmolojik İlaçlar,Dorzolamid,"Asidoz, böbrek taşı","Böbrek yetmezliği, sülfa allerjisi","Karbonik anhidraz inhibitörü","2% damla"
Oftalmolojik İlaçlar,Brimonidin,"Ağız kuruluğu, uyku hali","MAO inhibitörü, çocuklar","Glokom tedavisi","0.2% damla"
Oftalmolojik İlaçlar,Siklopentolat,"Fotofobi, bulanık görme","Glokom, bebekler","Mydriyatik","1% damla"
Oftalmolojik İlaçlar,Olopatadin,"Yanma, baş ağrısı","Kontakt lens kullanımı","Alerjik konjonktivit","0.1% damla"
Jinekolojik İlaçlar,Levonorgestrel,"Bulantı, düzensiz kanama","Gebelik, tromboemboli","Acil kontrasepsiyon","1.5 mg tek doz"
Jinekolojik İlaçlar,Medroksiprogesteron,"Kilo artışı, tromboz","Meme ca, aktif karaciğer hastalığı","Kontrasepsiyon","150 mg/3ay"
Jinekolojik İlaçlar,Estradiol,"Tromboz, meme hassasiyeti","Tromboemboli, endometrium ca","Menopoz tedavisi","1-2 mg/gün"
Jinekolojik İlaçlar,Clomifen,"Sıcak basması, çoğul gebelik","Over kisti, karaciğer yetmezliği","Ovülasyon indüksiyonu","50-100 mg/gün"
Jinekolojik İlaçlar,Mifepriston,"Kanama, kramp","Ektopik gebelik, adrenal yetmezlik","Medikal abortus","600 mg tek doz"
Jinekolojik İlaçlar,Metronidazol,"Metalik tat, nöropati","Alkol kullanımı, gebelik 1.trimestr","Bakteriyel vajinoz","500 mg 2x1"
Pediatrik İlaçlar,Parasetamol,"Hepatotoksisite, rash","Karaciğer yetmezliği, G6PD eksikliği","Ateş düşürücü","10-15 mg/kg"
Pediatrik İlaçlar,Amoksisilin,"İshal, allerji","Penisilin allerjisi, mononükleoz","Otitis media","25-50 mg/kg"
Pediatrik İlaçlar,Salbutamol,"Titreme, taşikardi","Hipertiroidizm, aritmi","Astım tedavisi","0.1 mg/kg"
Pediatrik İlaçlar,İbuprofen,"Mide ağrısı, böbrek hasarı","Peptik ülser, dehidratasyon","Ateş düşürücü","5-10 mg/kg"
Pediatrik İlaçlar,Ferro sülfat,"Kabızlık, siyah dışkı","Hemokromatozis, talasemi","Demir eksikliği","3-6 mg/kg"
Pediatrik İlaçlar,Hidrokortizon,"Hipertansiyon, hiperglisemi","Fungal enfeksiyon, septik şok","Adrenal yetmezlik","2-5 mg/kg"
Geriatrik İlaçlar,Donepezil,"Bulantı, kramp","Peptik ülser, astım","Alzheimer tedavisi","5-10 mg/gün"
Geriatrik İlaçlar,Rivaroksaban,"Kanama, hematom","Aktif kanama, böbrek yetmezliği","AF tedavisi","15-20 mg/gün"
Geriatrik İlaçlar,Memantin,"Konfüzyon, halüsinasyon","Böbrek yetmezliği, epilepsi","Demans tedavisi","5-20 mg/gün"
Geriatrik İlaçlar,Tamsulosin,"Hipotansiyon, baş dönmesi","Karaciğer yetmezliği, hipotansiyon","BPH tedavisi","0.4 mg/gün"
Geriatrik İlaçlar,Tramadol,"Bulantı, konstipasyon","Epilepsi, opioid bağımlılığı","Ağrı tedavisi","50-100 mg"
Geriatrik İlaçlar,Bisoprolol,"Bradikardi, yorgunluk","Astım, kalp yetmezliği","Hipertansiyon","2.5-10 mg/gün"
Acil İlaçlar,Adrenalin,"Taşikardi, hipertansiyon","Hipertansiyon, aritmi","Anafilaksi tedavisi","0.3-0.5 mg IM"
Acil İlaçlar,Nalokson,"Ağrı, yoksunluk sendromu","Opioid bağımlılığı","Opioid entoksikasyonu","0.4-2 mg IV"
Acil İlaçlar,Diazepam,"Sedasyon, solunum depresyonu","Glokom, myastenia gravis","Status epileptikus","5-10 mg IV"
Acil İlaçlar,Nitrat,"Baş ağrısı, hipotansiyon","Hipotansiyon, PDE5 inhibitörü","Angina tedavisi","0.4 mg SL"
Acil İlaçlar,Furosemid,"Hipotansiyon, hipokalemi","Anüri, dehidratasyon","Akut pulmoner ödem","20-40 mg IV"
Acil İlaçlar,Morfine,"Solunum depresyonu, hipotansiyon","Astım, kafa içi basınç artışı","Ağrı tedavisi","2-5 mg IV"
